time,distance
26.067,139.906
26.118,146.789
26.168,153.266
26.219,159.617
26.269,166.078
26.32,172.648
26.37,179.406
26.421,186.313
26.471,195.852
26.522,203.18
26.572,210.859
26.623,218.813
26.674,227.109
26.724,235.805
26.775,244.484
26.825,252.75
26.876,260.695
26.926,268.203
26.977,275.422
27.027,282.523
27.078,289.398
27.128,296.086
27.179,302.438
27.23,308.836
27.28,315.164
27.33,321.414
27.381,327.609
27.431,333.734
27.482,339.875
27.532,345.961
27.583,352.008
27.634,358.07
27.684,360.109
27.735,360.109
27.785,360.109
27.836,360.109
27.886,360.109
27.937,360.109
27.987,360.109
28.038,360.109
28.088,360.109
28.139,360.109
28.189,360.109
28.24,360.109
28.291,360.109
28.341,360.109
28.392,360.109
28.442,360.109
28.493,360.109
28.543,360.109
28.594,360.109
28.644,360.109
28.695,360.109
28.745,360.109
28.796,360.109
28.847,360.109
28.897,360.109
28.948,360.109
28.998,360.109
29.049,360.109
29.099,360.109
29.15,360.109
29.2,360.109
29.251,360.109
29.301,360.109
29.352,360.109
29.403,360.109
29.453,360.109
29.504,360.109
29.554,360.109
29.605,360.109
29.655,360.109
29.706,360.109
29.757,360.109
29.807,360.109
29.858,360.109
29.908,360.109
29.959,360.109
30.009,360.109
30.06,360.109
30.11,360.109
